,Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,N/A,Version Booster,Booster landing,Date,Time
0,1,CCSFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success,,F9 v1.0  ,Failure [4],4 June 2010,18:45
1,2,CCSFS,SpaceX COTS Demo Flight 1,0,LEO,,Success,,F9 v1.0  ,Failure [4],8 December 2010,15:43
2,3,CCSFS,SpaceX COTS Demo Flight 2,525,LEO,NASA,Success,,F9 v1.0  ,No attempt,22 May 2012,07:44
3,4,CCSFS,SpaceX CRS-1,4700,LEO,NASA,Success,,F9 v1.0  ,No attempt ,8 October 2012,00:35
4,5,CCSFS,SpaceX CRS-2,4877,LEO,NASA,Success,,F9 v1.0  ,No attempt,1 March 2013,15:10
5,6,VSFB,CASSIOPE,500,Polar orbit,MDA,Success,,F9 v1.1  ,Uncontrolled (ocean),29 September 2013,16:00
6,7,CCSFS,SES-8,3170,GTO,SES,Success,,"F9 v1.1 B1004
",No attempt [34],3 December 2013,22:41
7,8,CCSFS,Thaicom 6,3325,GTO,Thaicom,Success,,F9 v1.1,No attempt [39],6 January 2014,22:06
8,9,CCSFS,SpaceX CRS-3,2296,LEO,NASA,Success,,F9 v1.1,Controlled (ocean),18 April 2014,19:25
9,10,CCSFS,Orbcomm-OG2,1316,LEO,Orbcomm,Success,,F9 v1.1,Controlled (ocean),14 July 2014,15:15
10,11,CCSFS,AsiaSat 8,4535,GTO,AsiaSat,Success,,F9 v1.1,No attempt [53],5 August 2014,08:00
11,12,CCSFS,AsiaSat 6,4428,GTO,AsiaSat,Success,,F9 v1.1 B1011,No attempt,7 September 2014,05:00
12,13,CCSFS,SpaceX CRS-4,2216,LEO,NASA,Success,,F9 v1.1 B1010,Uncontrolled (ocean),21 September 2014,05:52
13,14,CCSFS,SpaceX CRS-5,2395,LEO,NASA,Success,,F9 v1.1 B1012,Failure (drone ship),10 January 2015,09:47
14,15,CCSFS,DSCOVR,570,Sun–Earth L,,Success,,F9 v1.1 B1013,Controlled (ocean),11 February 2015,23:03
15,16,CCSFS,"
",4159,GTO,,Success,,F9 v1.1 B1014,No attempt [74],2 March 2015,03:50
16,17,CCSFS,SpaceX CRS-6,1898,LEO,NASA,Success,,F9 v1.1 B1015,Failure [80],14 April 2015,20:10
17,18,CCSFS,TürkmenÄlem 52°E / MonacoSAT,4707,GTO,Turkmenistan National,Success,,F9 v1.1 B1016,No attempt [86],27 April 2015,23:03
18,19,CCSFS,SpaceX CRS-7,1952,LEO,NASA,Failure,,F9 v1.1 B1018,Precluded [91],28 June 2015,14:21
19,20,CCSFS,Orbcomm-OG2,2034,LEO,Orbcomm,Success,,F9 FT B1019,Success [96],22 December 2015,01:29
20,21,VSFB,Jason-3,553,LEO,,Success,,F9 v1.1 B1017,Failure (drone ship),17 January 2016,18:42
21,22,CCSFS,SES-9,5271,GTO,SES,Success,,F9 FT B1020,Failure (drone ship),4 March 2016,23:35
22,23,CCSFS,SpaceX CRS-8,3136,LEO,NASA,Success,,F9 FT B1021.1,Success [115],8 April 2016,20:43
23,24,CCSFS,JCSAT-14,4696,GTO,SKY Perfect JSAT Group,Success,,F9 FT B1022,Success (drone ship),6 May 2016,05:21
24,25,CCSFS,Thaicom 8,3100,GTO,Thaicom,Success,,F9 FT B1023.1,Success [130],27 May 2016,21:39
25,26,CCSFS,"
",3600,GTO,,Success,,F9 FT B1024,Failure [60],15 June 2016,14:29
26,27,CCSFS,SpaceX CRS-9,2257,LEO,NASA,Success,,F9 FT B1025.1,Success (ground pad),18 July 2016,04:45
27,28,CCSFS,JCSAT-16,4600,GTO,SKY Perfect JSAT Group,Success,,F9 FT B1026,Success (drone ship),14 August 2016,05:26
28,N/A,CCSFS,AMOS-6,5500,GTO,Spacecom,Precluded,,F9 FT [105],Precluded (drone ship),3 September 2016,07:00
29,29,VSFB,Iridium NEXT,9600,Polar,Iridium Communications,Success,,F9 FT B1029.1,Success [151],14 January 2017,17:54
30,30,KSC,SpaceX CRS-10,2490,LEO,NASA,Success,,F9 FT B1031.1,Success (ground pad),19 February 2017,14:39
31,31,KSC,EchoStar 23,5600,GTO,EchoStar,Success,,F9 FT B1030,No attempt [162],16 March 2017,06:00
32,32,KSC,SES-10,5300,GTO,SES,Success,,F9 FT ♺,Success (drone ship),30 March 2017,22:27
33,33,KSC,NROL-76,0,LEO,NRO,Success,,F9 FT B1032.1,Success (ground pad),1 May 2017,11:15
34,34,KSC,Inmarsat-5 F4,6070,GTO,Inmarsat,Success,,F9 FT B1034.1,No attempt [162],15 May 2017,23:21
35,35,KSC,SpaceX CRS-11,2708,LEO,NASA,Success,,F9 FT B1035.1,Success (ground pad),3 June 2017,21:07
36,36,KSC,BulgariaSat-1,3669,GTO,Bulsatcom,Success,,F9 FT B1029.2,Success (drone ship),23 June 2017,19:10
37,37,VSFB,Iridium NEXT,9600,LEO,Iridium Communications,Success,,F9 FT B1036.1,Success (drone ship),25 June 2017,20:25
38,38,KSC,Intelsat 35e,6761,GTO,Intelsat,Success,,F9 FT B1037.1,No attempt [162],5 July 2017,23:38
39,39,KSC,SpaceX CRS-12,3310,LEO,NASA,Success,,F9 B4 B1039.1,Success (ground pad),14 August 2017,16:31
40,40,VSFB,Formosat-5,475,SSO,NSPO,Success,,F9 FT B1038.1,Success (drone ship),24 August 2017,18:51
41,41,KSC,Boeing X-37B,4990,LEO,USAF,Success,,F9 B4 B1040.1,Success (ground pad),7 September 2017,14:00
42,42,VSFB,Iridium NEXT,9600,Polar,Iridium Communications,Success,,F9 B4 B1041.1,Success (drone ship),9 October 2017,12:37
43,43,KSC,SES-11,5400,GTO,,Success,,F9 FT B1031.2,Success (drone ship),11 October 2017,22:53:00
44,44,KSC,Koreasat 5A,3500,GTO,KT Corporation,Success,,F9 B4 B1042.1,Success (drone ship),30 October 2017,19:34
45,45,CCSFS,SpaceX CRS-13,2205,LEO,NASA,Success,,F9 FT B1035.2,Success (ground pad),15 December 2017,15:36
46,46,VSFB,Iridium NEXT,9600,Polar,Iridium Communications,Success,,F9 FT B1036.2,Controlled (ocean),23 December 2017,01:27
47,47,CCSFS,Zuma,0,LEO,Northrop Grumman,Success,,"F9 B4 B1043.1
",Success (ground pad),8 January 2018,01:00
48,48,CCSFS,GovSat-1,4230,GTO,SES,Success,,F9 FT B1032.2,Controlled (ocean),31 January 2018,21:25
49,,KSC,Elon Musk's Tesla Roadster,1250,Heliocentric,SpaceX,Success,,Falcon Heavy B1033.1 ,Failure [252],6 February 2018,20:45
50,49,VSFB,"
",2150,SSO,,Success,,F9 FT B1038.2,No attempt [266],22 February 2018,14:17
51,50,CCSFS,"
",6092,GTO,,Success,,F9 B4 B1044.1,Controlled (ocean),6 March 2018,05:33
52,51,VSFB,Iridium NEXT,9600,Polar,Iridium Communications,Success,,F9 B4 B1041.2,No attempt [282],30 March 2018,14:14
53,52,CCSFS,SpaceX CRS-14,2647,LEO,NASA,Success,,F9 B4 B1039.2,No attempt [289],2 April 2018,20:30
54,53,CCSFS,Transiting Exoplanet Survey Satellite,362,HEO,NASA,Success,,F9 B4 B1045.1,Success [301],18 April 2018,22:51
55,54,KSC,Bangabandhu-1,3600,GTO,Thales-Alenia,Success,,F9 B5 B1046.1,Success [310],11 May 2018,20:14
56,55,VSFB,"
",6460,Polar,,Success,,F9 B4 B1043.2,No attempt [162],22 May 2018,19:47
57,56,CCSFS,SES-12,5384,GTO,SES,Success,,F9 B4 B1040.2,No attempt [162],4 June 2018,04:45
58,57,CCSFS,SpaceX CRS-15,2697,LEO,NASA,Success,,F9 B4 B1045.2,No attempt [162],29 June 2018,09:42
59,58,CCSFS,Telstar 19V,7075,GTO,Telesat,Success,,F9 B5 B1047.1,Success [339],22 July 2018,05:50
60,59,VSFB,Iridium NEXT,9600,Polar,Iridium Communications,Success,,F9 B5 B1048,Success [347],25 July 2018,11:39
61,60,CCSFS,Merah Putih,5800,GTO,Telkom Indonesia,Success,,F9 B5 B1046.2,Success [353],7 August 2018,05:18
62,61,CCSFS,Telstar 18V,7060,GTO,Telesat,Success,,F9 B5 B1049.1,Success [356],10 September 2018,04:45
